,Player,Pos,Tm,G,MP,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,RAPM,RAPM__Off,RAPM__Def,Salary 2020-21
504,DaQuan Jeffries,SG,TOT,21,249,8.1,0.0,0.0,0.1,.017,-3.2,-1.6,-4.7,-0.2,245,5.0,11.7,.426,1.9,6.0,.323,3.1,5.8,.533,1.2,1.3,.857,1.9,3.8,5.8,1.7,1.3,1.2,1.5,4.4,13.1,106,120,0.97,0.72,0.25,1445697.0
513,Ty Jerome,SG,OKC,25,609,12.0,0.4,0.4,0.8,.063,-0.7,-0.8,-1.5,0.1,246,7.0,16.7,.418,4.2,10.2,.408,2.8,6.5,.434,1.4,2.0,.720,0.8,4.9,5.7,7.1,1.2,0.3,2.7,3.5,19.5,109,116,-0.33,-0.34,0.01,2303040.0
514,Isaiah Joe,SG,PHI,30,284,8.1,0.1,0.3,0.4,.066,-3.0,-1.1,-4.1,-0.1,247,5.4,16.0,.337,4.2,12.7,.333,1.2,3.4,.350,1.4,1.5,.889,1.0,3.9,4.9,2.9,1.4,0.7,1.0,4.6,16.4,105,111,-0.28,-0.04,-0.23,898310.0
515,Cameron Johnson,PF,PHO,51,1184,13.1,1.4,1.3,2.8,.112,0.9,-0.2,0.7,0.8,249,7.4,16.5,.446,4.4,11.4,.387,3.0,5.1,.577,1.7,2.0,.872,1.1,5.7,6.8,3.1,1.2,0.6,1.5,3.1,20.8,116,111,2.92,0.83,2.09,4235160.0
516,James Johnson,PF,TOT,40,803,11.7,0.0,1.0,1.0,.058,-2.4,1.4,-1.1,0.2,250,6.5,14.8,.442,1.5,5.9,.260,5.0,8.9,.562,2.1,3.2,.642,1.3,6.7,8.0,4.9,2.1,2.3,2.7,5.6,16.7,103,111,-0.64,-0.4,-0.24,16047100.0
525,Keldon Johnson,SF,SAS,53,1509,14.4,1.4,1.5,3.0,.094,-0.6,-1.0,-1.6,0.2,251,8.4,17.4,.483,1.5,4.4,.333,6.9,12.9,.535,3.6,4.9,.730,2.5,8.3,10.9,3.0,0.9,0.8,1.9,3.6,21.8,112,112,-2.99,-1.88,-1.11,2048040.0
526,Stanley Johnson,PF,TOR,50,730,8.4,0.0,0.9,0.8,.055,-3.7,1.2,-2.5,-0.1,252,3.8,9.7,.395,2.0,5.7,.345,1.8,4.0,.467,1.6,1.9,.828,1.5,6.3,7.7,4.0,2.4,1.1,2.6,5.9,11.2,102,111,-1.93,-0.91,-1.03,3801000.0
527,Tyler Johnson,SG,BRK,31,522,8.4,0.3,0.3,0.5,.050,-2.4,-1.4,-3.7,-0.2,253,5.2,13.1,.394,3.5,9.3,.376,1.7,3.8,.439,1.5,1.8,.842,0.5,5.0,5.5,2.7,1.1,0.0,1.2,2.9,15.3,111,117,1.29,1.43,-0.14,2028594.0
528,Damian Jones,C,TOT,25,246,11.7,0.3,0.4,0.7,.130,-4.4,1.3,-3.1,-0.1,255,5.3,7.7,.692,0.0,0.2,.000,5.3,7.5,.711,3.6,5.1,.692,3.4,6.7,10.1,1.4,1.0,2.6,2.6,9.1,14.3,122,109,-1.43,-1.13,-0.3,785285.0
544,Derrick Jones Jr.,SF,POR,50,1220,12.3,1.6,0.6,2.2,.088,-1.3,-0.2,-1.6,0.1,256,5.5,11.3,.486,1.7,5.1,.328,3.8,6.2,.617,2.1,3.3,.634,3.0,4.9,7.9,1.6,1.4,2.0,1.2,4.5,14.7,121,116,0.42,-0.42,0.84,9268293.0
545,Tre Jones,PG,SAS,27,132,9.1,-0.2,0.1,-0.1,-0.020,-4.5,-1.7,-6.2,-0.1,258,7.4,16.5,.444,0.4,0.7,.500,7.0,15.8,.442,2.6,2.6,1.000,1.8,2.6,4.4,5.1,2.2,0.0,4.4,2.2,17.6,92,114,-0.85,-0.32,-0.53,898310.0
546,Tyus Jones,PG,MEM,56,1054,15.4,1.3,1.2,2.5,.114,-0.1,0.8,0.7,0.7,259,7.2,16.5,.434,1.8,5.6,.315,5.4,10.9,.496,1.5,1.6,.917,0.9,4.6,5.5,10.1,2.7,0.2,1.9,1.1,17.6,115,111,-1.63,-1.46,-0.17,7965100.0
547,DeAndre Jordan,C,BRK,49,1086,17.4,2.2,1.3,3.5,.156,0.1,0.9,1.0,0.8,260,7.6,9.7,.781,0.0,0.0,.000,7.6,9.7,.784,1.6,3.1,.500,4.2,11.6,15.9,3.6,0.6,2.6,3.2,4.6,16.7,129,111,0.13,-0.17,0.3,10375678.0
548,Cory Joseph,PG,TOT,57,1273,11.8,1.0,0.5,1.5,.057,-2.3,-0.3,-2.6,-0.2,261,6.2,13.6,.457,1.4,4.3,.325,4.8,9.3,.518,2.4,3.0,.810,1.2,4.1,5.3,6.9,2.1,0.5,2.5,4.7,16.3,111,117,-2.78,-0.38,-2.4,12600000.0
557,Mfiondu Kabengele,PF,TOT,26,115,2.9,-0.3,0.1,-0.1,-0.046,-9.2,-0.4,-9.6,-0.2,262,4.7,15.5,.306,2.1,9.0,.238,2.6,6.4,.400,2.1,2.6,.833,0.4,7.7,8.2,2.6,1.7,1.3,3.0,9.5,13.7,80,110,-0.29,-0.87,0.58,2075880.0
566,Frank Kaminsky,C,PHO,34,493,15.4,0.6,0.7,1.3,.131,0.6,1.2,1.8,0.5,263,8.2,17.7,.463,2.6,6.5,.400,5.6,11.2,.500,2.2,3.9,.564,2.2,10.0,12.2,5.4,1.0,1.3,1.6,4.2,21.2,115,109,-0.29,-0.45,0.16,1882867.0
567,Enes Kanter,C,POR,56,1473,22.6,4.8,1.3,6.1,.199,1.9,-1.9,0.0,0.8,264,9.4,15.4,.606,0.0,0.0,.000,9.4,15.4,.608,3.6,4.6,.784,8.0,13.9,21.9,2.4,0.9,1.3,2.3,4.7,22.3,133,113,1.05,1.68,-0.63,5005350.0
568,Luke Kennard,SG,LAC,53,1040,12.6,1.4,0.9,2.3,.105,0.2,-1.0,-0.7,0.3,265,7.7,16.1,.479,4.0,8.7,.462,3.7,7.4,.500,1.0,1.2,.846,0.7,6.2,6.8,4.2,0.9,0.4,2.0,3.8,20.4,118,114,-0.93,1.22,-2.14,5273826.0
569,Maxi Kleber,PF,DAL,41,1146,10.3,1.3,1.1,2.4,.099,-1.0,0.0,-1.0,0.3,266,4.1,9.8,.423,3.1,7.6,.415,1.0,2.2,.451,1.4,1.5,.914,1.6,7.8,9.4,2.3,0.9,1.3,1.2,4.1,12.8,121,113,2.45,0.99,1.45,8250000.0
570,John Konchar,SG,MEM,33,463,13.1,0.5,0.7,1.2,.123,-1.5,1.4,-0.1,0.2,269,4.9,10.5,.461,1.5,4.1,.375,3.3,6.4,.516,2.1,2.5,.833,2.6,7.1,9.7,3.7,3.0,0.7,1.7,3.6,13.3,118,108,-0.15,0.66,-0.81,2093023.0
571,Furkan Korkmaz,SG,PHI,46,907,12.7,0.4,1.3,1.7,.092,-0.5,0.3,-0.2,0.4,270,7.8,19.2,.405,4.5,12.0,.373,3.3,7.1,.459,2.9,4.0,.724,0.6,4.4,5.0,3.2,2.3,0.4,2.1,2.9,22.9,107,109,0.77,0.33,0.44,1762796.0
572,Luke Kornet,PF-C,TOT,22,213,12.1,0.1,0.3,0.4,.081,-0.1,0.8,0.7,0.1,271,5.5,14.4,.381,3.0,10.3,.289,2.5,4.1,.611,0.7,1.4,.500,1.6,8.0,9.6,3.0,0.5,4.1,0.7,2.3,14.6,109,110,0.36,-0.42,0.78,2304878.0
581,Rodions Kurucs,SF-PF,TOT,20,121,6.7,-0.3,0.2,-0.1,-0.040,-6.6,2.5,-4.1,-0.1,272,4.3,12.6,.344,2.4,8.2,.286,2.0,4.3,.455,0.4,0.8,.500,2.0,7.1,9.0,3.9,3.5,1.6,4.7,5.1,11.4,78,108,-0.15,-0.72,0.57,1780152.0
597,Kyle Kuzma,SF,LAL,55,1561,12.7,0.0,2.4,2.5,.076,-0.5,-0.7,-1.2,0.3,273,8.5,19.5,.436,3.4,9.8,.350,5.1,9.7,.522,1.7,2.5,.675,3.0,8.1,11.1,2.9,0.8,1.0,3.0,2.9,22.1,103,108,0.13,-1.69,1.82,3562178.0
598,Jeremy Lamb,SG,IND,36,765,16.0,1.3,0.9,2.1,.134,0.9,0.4,1.3,0.6,275,7.5,17.2,.435,3.2,8.0,.406,4.2,9.2,.459,4.4,4.7,.947,1.6,6.6,8.2,3.3,2.1,1.4,1.4,4.5,22.6,119,111,-0.86,0.21,-1.08,10500000.0
599,Zach LaVine,SG,CHI,53,1867,21.6,3.8,1.5,5.3,.136,4.8,-1.0,3.8,2.7,277,13.4,26.6,.506,4.7,11.3,.416,8.7,15.3,.572,6.0,7.1,.848,0.8,6.1,7.0,6.9,1.1,0.7,5.0,3.2,37.6,115,114,-1.11,1.02,-2.13,19500000.0
600,Jake Layman,SF,MIN,42,602,11.5,0.2,0.4,0.6,.046,-2.6,-0.1,-2.7,-0.1,278,6.8,13.7,.497,1.6,5.7,.288,5.2,8.0,.647,2.0,2.9,.703,1.0,4.0,5.0,2.2,2.3,1.3,2.0,3.2,17.3,107,115,-1.04,-2.04,1.0,3761085.0
601,Jalen Lecque,PG,IND,4,12,4.8,-0.1,0.0,-0.1,-0.233,-6.3,-6.8,-13.1,0.0,279,4.0,35.7,.111,0.0,4.0,.000,4.0,31.8,.125,11.9,11.9,1.000,7.9,11.9,19.9,7.9,0.0,0.0,0.0,0.0,19.9,77,115,-0.11,-0.18,0.06,1517981.0
602,Damion Lee,SG,GSW,57,1079,11.9,1.4,1.2,2.6,.115,-0.8,0.5,-0.3,0.5,280,5.6,11.9,.467,3.3,8.4,.397,2.2,3.5,.638,1.7,1.9,.909,1.0,6.9,7.8,3.2,1.7,0.3,1.3,3.9,16.2,121,111,0.64,0.63,0.02,1762796.0
603,Alex Len,C,TOT,49,757,16.1,1.0,0.9,1.9,.123,-1.5,0.9,-0.6,0.3,282,8.1,13.0,.627,0.4,1.4,.304,7.7,11.6,.667,3.4,5.7,.602,3.1,8.5,11.6,2.5,0.9,3.1,2.8,6.0,20.1,117,110,-1.07,-1.04,-0.03,4032648.0
621,Kawhi Leonard,SF,LAC,46,1581,26.9,6.0,2.2,8.1,.246,5.8,1.1,6.9,3.6,283,13.5,26.1,.516,2.8,7.2,.393,10.7,19.0,.562,7.2,8.2,.878,1.6,8.0,9.6,7.3,2.4,0.6,2.8,2.4,37.0,126,109,3.98,2.94,1.03,34379100.0
622,Meyers Leonard,C,MIA,3,29,6.6,0.0,0.0,0.0,.043,-3.5,-0.9,-4.4,0.0,284,5.1,12.0,.429,5.1,12.0,.429,0.0,0.0,,1.7,3.4,.500,0.0,12.0,12.0,3.4,0.0,0.0,3.4,8.5,17.1,101,112,-0.18,-0.14,-0.04,9400000.0
623,Caris LeVert,SG,TOT,33,1012,16.5,0.3,1.0,1.3,.063,-0.3,-0.4,-0.6,0.3,285,10.9,25.4,.430,2.7,8.7,.311,8.2,16.7,.492,3.9,4.9,.798,1.2,5.8,7.0,7.4,2.2,0.8,3.1,3.1,28.5,105,113,1.32,0.34,0.99,16203704.0
632,Kira Lewis Jr.,PG,NOP,39,626,11.5,0.3,0.4,0.7,.053,-2.7,-0.4,-3.1,-0.2,286,7.6,18.7,.405,2.2,6.5,.345,5.3,12.2,.437,1.9,2.4,.774,0.6,2.9,3.5,6.9,2.2,0.5,1.7,4.6,19.3,108,116,-0.28,-0.29,0.01,3640200.0
633,Damian Lillard,PG,POR,52,1867,25.1,7.1,0.4,7.5,.194,7.1,-1.9,5.2,3.4,287,12.0,27.4,.440,5.6,14.7,.379,6.5,12.7,.510,9.4,10.2,.925,0.7,5.0,5.7,10.4,1.2,0.4,4.3,2.2,39.1,123,119,0.49,2.82,-2.33,31626953.0
634,Nassir Little,PF,POR,37,521,12.7,0.9,0.1,1.0,.096,-0.4,-2.0,-2.4,-0.1,288,6.1,12.8,.478,2.4,6.6,.371,3.7,6.2,.591,3.1,3.8,.825,2.4,7.0,9.5,1.6,0.5,1.1,1.3,4.1,17.7,125,119,-0.04,1.84,-1.88,2210640.0
635,Kevon Looney,C,GSW,47,797,12.7,1.5,0.9,2.4,.142,-1.5,0.6,-0.9,0.2,289,4.5,8.2,.554,0.2,0.9,.267,4.3,7.3,.589,1.3,1.9,.688,5.1,7.7,12.8,5.2,1.1,1.0,1.8,5.7,10.6,129,111,0.92,0.82,0.09,4821429.0
636,Brook Lopez,C,MIL,56,1533,14.6,2.2,1.8,4.1,.127,0.0,-0.1,-0.1,0.7,290,7.4,15.3,.483,2.6,7.5,.348,4.8,7.8,.613,2.7,3.2,.854,2.5,6.3,8.7,1.2,1.1,2.4,1.5,3.5,20.1,119,111,0.63,1.05,-0.43,12697675.0
637,Robin Lopez,C,WAS,57,1138,16.1,2.3,0.7,3.1,.129,0.0,-1.4,-1.3,0.2,291,8.6,13.5,.635,0.2,0.7,.278,8.4,12.8,.655,3.3,4.7,.698,4.7,4.5,9.2,2.0,0.6,1.3,2.4,3.9,20.7,125,116,-1.22,-1.74,0.52,7300000.0
638,Kevin Love,PF,CLE,14,311,15.4,0.1,0.3,0.5,.074,0.7,-1.1,-0.5,0.1,292,8.7,21.7,.401,4.3,13.5,.318,4.4,8.2,.538,3.8,4.9,.774,1.6,12.7,14.3,4.8,1.3,0.3,2.7,2.2,25.5,106,112,0.6,0.26,0.34,31300000.0
639,Kyle Lowry,PG,TOR,40,1385,16.3,2.4,1.2,3.6,.123,1.6,-0.7,1.0,1.0,293,7.8,17.9,.437,3.8,9.6,.391,4.1,8.3,.490,4.4,4.9,.880,1.1,6.5,7.6,10.1,1.5,0.3,4.0,4.4,23.8,116,114,-0.66,0.16,-0.81,30000000.0
640,Trey Lyles,PF,SAS,23,358,11.4,0.3,0.4,0.7,.092,-1.2,-0.7,-1.9,0.0,295,5.8,12.2,.478,1.9,5.4,.350,3.9,6.8,.580,2.0,3.1,.652,1.2,10.4,11.7,1.9,0.8,0.1,0.8,1.8,15.6,116,112,-2.88,-2.18,-0.7,5500000.0
641,Thon Maker,C,CLE,8,76,18.8,0.2,0.1,0.3,.180,0.3,1.2,1.5,0.1,297,6.5,11.7,.556,0.0,1.3,.000,6.5,10.4,.625,6.5,7.1,.909,5.2,6.5,11.7,2.6,1.3,2.6,1.9,4.5,19.5,133,112,-0.49,-0.47,-0.02,309355.0
642,Terance Mann,SG,LAC,56,1033,13.1,1.7,1.1,2.8,.129,-1.0,0.4,-0.6,0.4,300,6.6,13.4,.489,1.4,3.3,.429,5.1,10.0,.510,2.6,3.3,.786,2.4,7.6,10.0,4.3,1.2,0.6,1.6,5.3,17.2,122,112,-0.51,-0.1,-0.41,1517984.0
643,Lauri Markkanen,PF,CHI,37,1003,15.2,1.2,0.8,2.1,.100,1.2,-1.6,-0.4,0.4,303,9.4,19.5,.479,4.1,10.6,.385,5.3,8.9,.591,3.1,3.7,.831,1.3,8.4,9.7,1.7,0.8,0.6,2.0,2.5,25.9,114,114,-1.76,-1.48,-0.28,6731508.0
644,Caleb Martin,SF,CHO,42,628,9.9,-0.3,0.7,0.4,.029,-3.2,-0.6,-3.8,-0.3,305,6.0,16.0,.377,2.0,7.6,.265,4.0,8.4,.477,2.2,3.5,.622,2.2,7.0,9.3,4.0,2.2,0.6,2.2,3.6,16.2,98,111,-2.0,-0.93,-1.07,1517981.0
645,Cody Martin,SF,CHO,44,666,10.2,0.2,0.6,0.8,.055,-2.4,-0.1,-2.5,-0.1,306,4.9,11.1,.441,0.9,3.6,.265,3.9,7.5,.524,1.5,2.6,.571,2.8,5.8,8.5,5.0,1.8,0.7,2.3,2.8,12.2,106,113,0.54,-0.37,0.91,1517981.0
646,Kelan Martin,SF,IND,20,101,10.9,0.0,0.1,0.1,.036,-2.4,-0.5,-3.0,0.0,307,6.6,17.0,.389,2.8,8.0,.353,3.8,9.0,.421,2.4,2.4,1.000,2.8,7.5,10.4,2.4,2.4,0.9,2.8,4.7,18.4,99,111,-0.1,-0.13,0.03,1445697.0
647,Kenyon Martin Jr.,SF,HOU,31,598,14.5,0.8,0.6,1.4,.113,-1.7,0.0,-1.7,0.0,308,6.4,12.3,.516,1.0,2.8,.343,5.4,9.5,.567,2.8,3.7,.761,4.2,7.6,11.8,1.6,1.3,2.1,1.6,4.2,16.5,119,112,0.08,-0.66,0.74,898310.0
648,Wesley Matthews,SG,LAL,49,959,6.5,0.0,1.4,1.4,.069,-3.5,0.5,-3.0,-0.2,312,3.5,10.6,.335,2.7,8.4,.325,0.8,2.2,.372,1.5,1.8,.857,0.7,3.1,3.8,2.3,1.6,0.8,1.1,3.5,11.3,103,109,-1.6,-1.35,-0.24,3623000.0
649,Tyrese Maxey,SG,PHI,48,680,12.5,0.2,0.8,1.0,.068,-2.3,-1.1,-3.4,-0.2,313,10.0,22.1,.452,1.4,5.1,.278,8.6,17.1,.504,2.3,2.7,.868,0.6,4.5,5.1,5.3,1.1,0.5,2.0,3.9,23.8,105,111,-3.66,-1.61,-2.05,2478840.0
650,Patrick McCaw,SF,TOR,5,33,12.0,0.1,0.0,0.1,.212,-2.5,3.5,1.0,0.0,315,1.5,1.5,1.000,0.0,0.0,,1.5,1.5,1.000,4.4,4.4,1.000,1.5,2.9,4.4,5.8,2.9,0.0,0.0,8.8,7.3,233,113,-0.6,-0.19,-0.4,4000000.0
651,CJ McCollum,SG,POR,31,1040,21.3,2.6,0.4,3.0,.136,5.2,-1.6,3.6,1.5,316,12.6,28.3,.444,5.5,14.0,.396,7.0,14.2,.492,3.4,4.1,.818,0.9,4.8,5.7,6.9,1.6,0.8,1.9,2.7,34.0,119,118,0.94,0.67,0.27,29354152.0
652,T.J. McConnell,PG,IND,54,1387,16.8,2.0,1.7,3.7,.128,0.0,1.7,1.7,1.3,317,7.1,12.4,.569,0.3,1.1,.313,6.7,11.3,.594,0.7,1.2,.618,1.4,5.4,6.7,12.0,3.2,0.6,3.5,3.0,15.2,118,111,0.4,-0.23,0.63,3500000.0
653,Jaden McDaniels,PF,MIN,51,1164,9.4,0.4,0.7,1.0,.042,-3.2,-0.3,-3.6,-0.4,318,5.3,12.1,.440,2.4,6.5,.375,2.9,5.6,.514,0.9,1.6,.590,1.6,5.8,7.4,2.3,1.1,2.0,1.5,5.3,14.0,107,116,-0.18,-0.56,0.38,1964760.0
654,Jalen McDaniels,SF,CHO,31,482,10.7,0.0,0.5,0.5,.051,-3.5,-0.6,-4.1,-0.3,319,7.6,15.8,.478,2.1,6.0,.350,5.4,9.8,.557,2.8,3.7,.757,1.6,6.7,8.3,2.5,1.6,0.9,3.0,6.3,20.1,104,113,-1.17,-0.59,-0.58,1517981.0
655,Doug McDermott,PF,IND,52,1263,15.2,2.1,0.6,2.7,.103,1.5,-2.0,-0.5,0.5,320,9.9,19.2,.517,3.2,8.5,.379,6.7,10.8,.625,2.3,2.8,.822,2.0,5.2,7.1,2.6,0.6,0.2,1.7,3.2,25.3,119,117,1.32,0.9,0.42,7333333.0
656,JaVale McGee,C,TOT,37,543,18.1,-0.1,0.9,0.9,.076,-2.5,1.4,-1.0,0.1,322,10.8,20.7,.522,0.5,1.8,.250,10.4,18.9,.548,3.5,5.4,.644,5.4,11.8,17.3,3.1,1.6,3.8,4.6,8.3,25.5,102,106,-1.82,-1.87,0.05,4200000.0
665,Rodney McGruder,SG,DET,16,194,16.1,0.3,0.1,0.5,.121,0.9,-0.2,0.7,0.1,323,9.4,17.7,.529,2.8,6.1,.458,6.6,11.6,.565,1.5,2.0,.750,2.0,3.5,5.6,4.0,2.0,0.3,1.8,3.0,23.0,121,114,0.09,0.69,-0.6,5000000.0
666,Alfonzo McKinnie,SF,LAL,34,220,15.2,0.4,0.3,0.7,.162,0.5,-1.0,-0.6,0.1,324,8.6,16.6,.520,3.1,7.1,.438,5.5,9.5,.581,2.0,3.8,.529,3.8,6.4,10.2,1.3,1.1,0.0,0.9,4.6,22.3,125,109,-0.48,-0.46,-0.02,1762796.0
667,Ben McLemore,SG,TOT,39,659,9.0,-0.4,0.5,0.1,.010,-3.1,-1.2,-4.3,-0.4,326,7.2,19.5,.367,4.8,14.5,.330,2.4,5.1,.471,2.6,3.4,.766,1.0,4.7,5.7,2.3,1.5,0.4,2.4,4.8,21.7,98,114,-1.98,-1.07,-0.9,2852708.0
685,Sam Merrill,SG,MIL,25,192,12.5,0.3,0.2,0.4,.111,-0.1,-0.9,-1.0,0.0,329,6.6,14.5,.458,4.4,9.6,.462,2.2,4.9,.450,1.0,1.0,1.000,1.5,5.2,6.6,4.7,1.2,0.2,2.5,3.4,18.7,120,114,-0.1,-0.35,0.26,898310.0
686,Khris Middleton,SF,MIL,55,1841,18.4,3.4,2.0,5.3,.139,2.1,-0.5,1.6,1.7,331,10.5,22.0,.479,3.1,7.3,.426,7.4,14.8,.504,4.3,4.8,.889,1.2,7.4,8.6,7.8,1.6,0.2,3.9,3.4,28.5,116,112,0.58,1.26,-0.67,33051724.0
687,Darius Miller,SF,OKC,18,197,16.1,0.4,0.3,0.7,.160,1.2,2.7,3.9,0.3,332,5.3,11.6,.458,4.1,10.2,.405,1.2,1.5,.833,2.9,2.9,1.000,0.5,5.3,5.8,5.1,3.2,1.2,1.9,3.2,17.7,129,110,1.6,0.56,1.04,7000000.0
688,Patty Mills,PG,SAS,54,1380,12.9,1.5,0.9,2.4,.082,0.7,-1.7,-1.0,0.4,333,7.7,18.1,.425,4.8,12.5,.385,2.9,5.6,.516,2.1,2.4,.910,0.6,2.7,3.3,4.7,1.2,0.1,1.9,2.4,22.4,113,116,3.06,0.73,2.32,13285714.0
689,Paul Millsap,PF,DEN,45,972,16.3,1.6,1.2,2.8,.138,0.5,-0.2,0.3,0.6,334,7.8,15.8,.494,2.1,5.8,.368,5.7,10.0,.566,2.9,4.1,.704,3.2,7.9,11.1,3.8,1.9,1.5,2.1,4.6,20.7,120,110,-0.62,0.44,-1.06,10000000.0
690,Shake Milton,SG,PHI,49,1170,14.4,0.9,1.3,2.2,.092,-1.1,-1.2,-2.3,-0.1,335,9.8,21.8,.452,2.2,6.5,.340,7.6,15.2,.500,5.0,5.9,.854,1.2,3.4,4.6,5.9,1.3,0.5,3.5,4.4,26.9,109,111,0.23,-0.89,1.11,1701593.0
691,Donovan Mitchell,PG,UTA,53,1771,21.4,4.1,2.1,6.2,.168,4.1,-0.6,3.5,2.5,336,13.1,30.0,.438,4.9,12.7,.386,8.2,17.3,.476,7.3,8.7,.845,1.4,5.1,6.5,7.6,1.4,0.4,4.0,3.2,38.5,115,111,1.06,1.2,-0.13,5195501.0
692,Malik Monk,SG,CHO,32,694,15.2,0.6,0.4,1.1,.073,1.0,-2.0,-1.1,0.2,338,10.4,22.5,.460,4.9,11.5,.424,5.5,11.0,.497,3.7,4.5,.815,0.8,5.1,5.9,4.3,1.1,0.3,3.3,2.7,29.3,110,116,1.21,0.72,0.49,5345687.0
693,Ja Morant,PG,MEM,48,1543,16.9,1.3,1.2,2.5,.077,1.3,-2.2,-0.9,0.4,340,10.2,22.7,.447,1.5,5.4,.277,8.7,17.3,.500,6.5,8.8,.739,1.4,4.1,5.5,11.0,1.3,0.3,4.6,2.1,28.3,108,114,0.46,2.01,-1.55,9166800.0
694,Markieff Morris,PF,LAL,50,1029,10.6,0.4,1.6,2.0,.092,-1.9,0.0,-1.9,0.0,343,6.5,14.9,.438,2.9,8.5,.344,3.6,6.4,.563,1.5,2.0,.744,2.0,9.1,11.1,2.7,0.8,0.8,2.2,4.4,17.5,107,107,-0.05,-0.44,0.39,2331593.0
695,Monte Morris,PG,DEN,44,1151,13.8,2.0,0.7,2.7,.113,0.1,-1.1,-1.0,0.3,344,7.5,15.7,.477,2.1,5.6,.377,5.4,10.1,.532,2.4,3.1,.789,0.5,3.6,4.1,6.1,1.3,0.6,1.4,1.9,19.5,122,116,2.19,1.75,0.43,1663861.0
696,Mychal Mulder,PG,GSW,46,460,8.7,0.1,0.4,0.5,.050,-2.2,-1.2,-3.4,-0.2,345,5.7,14.1,.406,4.4,12.0,.364,1.3,2.0,.650,1.1,1.9,.579,0.1,3.6,3.7,1.8,0.9,0.9,0.9,3.2,16.9,107,114,0.7,0.95,-0.25,1517981.0
697,Dejounte Murray,PG,SAS,54,1709,16.6,0.7,2.4,3.1,.087,-0.3,1.1,0.8,1.2,346,10.0,21.9,.454,1.5,4.6,.331,8.4,17.3,.487,2.5,3.1,.791,1.1,9.6,10.6,8.1,2.4,0.2,2.6,3.1,23.9,106,109,1.91,1.07,0.84,14285714.0
698,Jamal Murray,PG,DEN,48,1704,18.4,3.3,1.4,4.7,.133,2.7,-1.0,1.7,1.6,347,11.0,23.1,.477,3.8,9.2,.408,7.2,13.9,.523,3.9,4.5,.869,1.1,4.6,5.6,6.7,1.9,0.4,3.1,2.8,29.6,117,114,2.58,2.36,0.21,29250000.0
699,Mike Muscala,C,OKC,35,645,14.8,0.8,0.5,1.3,.099,0.8,-1.2,-0.3,0.3,348,8.8,19.8,.446,5.0,13.6,.370,3.8,6.1,.614,2.4,2.7,.917,1.4,8.4,9.8,2.1,0.6,0.8,1.6,4.0,25.1,115,114,0.98,-0.75,1.73,2283034.0
700,Abdel Nader,SF,PHO,24,355,13.4,0.3,0.5,0.8,.102,-1.2,0.8,-0.4,0.2,350,7.9,16.1,.491,2.5,6.0,.419,5.4,10.1,.534,3.9,5.1,.757,1.0,7.6,8.6,2.6,1.4,1.2,2.6,4.7,22.2,110,109,0.29,-0.43,0.72,1752950.0
701,Larry Nance Jr.,PF,CLE,32,1020,13.8,0.7,1.3,2.0,.096,-0.8,1.9,1.1,0.8,351,5.8,12.1,.480,1.8,4.9,.373,4.0,7.2,.554,1.4,2.2,.644,2.5,7.9,10.4,4.8,2.9,0.8,2.4,3.2,14.8,112,110,-0.34,-1.77,1.43,11709091.0
702,Aaron Nesmith,SF,BOS,32,407,6.0,-0.1,0.3,0.2,.025,-4.2,-0.8,-5.0,-0.3,352,4.2,11.6,.365,2.7,8.3,.319,1.6,3.3,.481,1.3,1.9,.688,1.7,6.4,8.1,1.3,1.1,0.7,1.8,5.3,12.4,99,114,0.6,0.53,0.07,3458400.0
703,Raul Neto,PG,WAS,51,1038,12.1,0.6,1.0,1.6,.073,-2.0,0.4,-1.6,0.1,353,6.9,15.4,.450,2.0,5.7,.359,4.9,9.7,.502,2.1,2.5,.839,0.8,4.3,5.2,4.8,2.5,0.2,1.8,3.6,18.0,109,113,-0.62,-0.19,-0.43,1882867.0
704,Georges Niang,PF,UTA,58,837,9.8,0.5,1.0,1.5,.083,-1.4,0.0,-1.5,0.1,354,7.1,16.6,.427,4.9,12.1,.404,2.2,4.5,.487,0.4,0.4,1.000,1.2,6.8,8.0,2.4,0.9,0.3,2.3,5.3,19.5,109,111,1.3,0.5,0.8,1783557.0
705,Zeke Nnaji,PF,DEN,36,351,11.0,0.5,0.2,0.7,.099,-0.9,-1.6,-2.6,-0.1,355,6.2,12.7,.489,2.8,7.2,.392,3.4,5.5,.615,1.7,2.1,.800,1.8,6.1,7.9,0.8,0.8,0.6,1.0,3.7,17.0,123,115,-0.82,-0.45,-0.36,2379840.0
706,Nerlens Noel,C,NYK,51,1193,14.8,1.1,2.7,3.8,.152,-2.7,3.2,0.6,0.8,356,4.6,7.6,.610,0.0,0.1,.000,4.6,7.5,.617,1.6,2.3,.696,5.0,8.6,13.6,1.4,2.2,4.6,2.5,5.8,10.9,117,101,-1.12,-0.46,-0.66,5000000.0
