,Player,Pos,Tm,G,MP,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,RAPM,RAPM__Off,RAPM__Def,Salary 2020-21
978,Russell Westbrook,PG,WAS,50,1775,18.3,-0.7,2.3,1.6,.042,1.9,0.4,2.2,1.9,501,10.8,24.6,.438,1.7,5.4,.311,9.1,19.2,.474,5.1,8.2,.618,2.2,12.1,14.2,14.2,1.7,0.5,6.5,3.6,28.3,101,110,-2.07,-1.84,-0.23,41358814.0
979,Coby White,PG,CHI,54,1653,11.3,0.2,1.1,1.3,.037,-1.8,-1.7,-3.5,-0.6,502,8.2,20.1,.407,3.3,9.7,.340,4.9,10.5,.468,3.0,3.3,.912,0.7,5.9,6.6,7.1,0.8,0.3,3.5,4.0,22.7,104,115,-0.81,-0.46,-0.35,5572680.0
980,Derrick White,SG,SAS,32,947,14.1,0.7,0.9,1.6,.079,0.5,-0.2,0.3,0.5,503,8.3,20.5,.404,3.9,11.0,.353,4.4,9.5,.462,4.3,5.0,.847,0.5,3.9,4.5,5.5,1.2,1.6,2.2,4.4,24.7,109,113,-0.16,0.31,-0.48,3516284.0
981,Hassan Whiteside,C,SAC,34,509,20.2,0.3,0.6,0.9,.087,-1.3,-0.3,-1.6,0.1,504,11.1,20.0,.557,0.0,0.1,.000,11.1,19.9,.559,3.9,7.3,.526,5.6,13.8,19.4,1.9,0.8,4.3,3.4,6.2,26.1,108,111,-0.69,0.03,-0.72,2320044.0
982,Andrew Wiggins,PF,GSW,58,1906,14.7,0.8,2.0,2.8,.071,-0.2,-0.6,-0.7,0.6,506,9.8,20.5,.477,2.9,7.4,.388,6.9,13.2,.527,3.4,4.9,.695,1.4,5.5,6.8,3.3,1.3,1.4,2.6,3.1,25.9,106,112,-0.62,-1.61,0.99,29542010.0
983,Grant Williams,PF,BOS,50,939,6.8,0.0,0.8,0.8,.041,-4.2,-0.2,-4.4,-0.6,507,4.2,9.9,.421,1.9,5.3,.366,2.2,4.6,.483,1.1,2.0,.553,2.1,5.5,7.6,2.6,1.5,0.9,2.2,6.8,11.4,103,113,-1.92,-1.03,-0.88,2498760.0
984,Kenrich Williams,PF,OKC,58,1221,13.8,1.6,1.1,2.6,.103,-1.1,0.7,-0.4,0.5,508,7.0,13.3,.528,1.7,3.8,.443,5.3,9.5,.562,1.3,2.1,.593,2.9,6.5,9.5,5.0,1.6,0.5,2.3,4.7,16.9,117,113,0.06,-1.04,1.1,2000000.0
985,Lou Williams,PG,TOT,52,1154,14.8,0.7,1.0,1.7,.070,-0.9,-1.6,-2.5,-0.1,509,9.6,22.9,.419,2.4,6.1,.392,7.2,16.7,.430,5.0,5.8,.867,0.7,3.6,4.4,7.6,1.9,0.2,3.5,2.2,26.6,107,114,0.94,0.81,0.13,8000000.0
994,Patrick Williams,PF,CHI,56,1599,10.3,0.3,1.6,1.9,.057,-2.8,-0.1,-2.8,-0.3,510,6.1,12.8,.481,1.3,3.4,.381,4.8,9.4,.518,2.1,2.7,.767,1.5,6.4,7.9,2.3,1.5,1.1,2.3,3.3,15.7,105,112,-1.49,-0.96,-0.53,7068360.0
995,Zion Williamson,PF,NOP,52,1719,27.6,6.4,1.1,7.5,.209,5.8,-0.3,5.5,3.3,512,15.1,24.6,.614,0.3,0.8,.300,14.8,23.8,.625,8.8,12.7,.699,3.8,6.7,10.5,5.4,1.4,1.0,3.9,3.4,39.3,125,115,0.6,2.25,-1.65,10245480.0
996,D.J. Wilson,PF,TOT,29,311,9.7,-0.3,0.4,0.1,.014,-4.0,-0.8,-4.8,-0.2,513,6.9,17.8,.385,3.4,9.9,.338,3.5,7.9,.442,1.7,2.6,.647,1.8,9.9,11.7,2.0,1.1,2.1,2.6,5.5,18.7,95,111,-0.77,-0.95,0.18,4548280.0
1005,Dylan Windler,SF,CLE,31,513,10.8,0.0,0.6,0.5,.051,-1.8,0.1,-1.7,0.0,514,5.5,12.5,.438,2.5,7.4,.338,3.0,5.1,.585,2.0,2.6,.778,1.9,8.4,10.3,3.2,1.8,1.2,3.1,3.6,15.5,103,112,0.56,0.51,0.06,2137440.0
1006,Justise Winslow,SF,MEM,17,355,4.8,-1.1,0.4,-0.7,-0.094,-7.2,-0.4,-7.6,-0.5,515,7.1,20.5,.349,0.7,5.5,.122,6.5,14.9,.432,1.2,2.2,.563,1.8,8.8,10.5,3.9,1.6,0.9,3.6,4.3,16.2,77,110,0.42,-0.2,0.62,13000000.0
1007,James Wiseman,C,GSW,39,836,13.2,-0.4,1.1,0.7,.039,-4.0,-1.4,-5.4,-0.7,517,10.7,20.7,.519,0.7,2.1,.316,10.0,18.5,.542,3.0,4.8,.628,3.1,9.6,12.7,1.5,0.6,2.0,3.4,6.8,25.2,100,110,-1.98,-2.72,0.74,8730240.0
1008,Christian Wood,C,HOU,35,1118,21.1,1.5,1.4,2.8,.121,2.2,-0.3,1.9,1.1,518,12.2,23.0,.530,2.7,7.1,.383,9.4,15.9,.595,4.3,6.6,.641,2.6,11.3,13.9,2.3,1.4,1.9,2.7,3.1,31.3,112,110,2.21,0.55,1.66,13015874.0
1009,Delon Wright,SG-PG,TOT,48,1301,16.1,2.0,1.3,3.4,.124,0.8,1.5,2.2,1.4,520,6.3,13.8,.458,1.5,4.3,.360,4.8,9.5,.502,3.5,4.2,.814,1.7,5.7,7.4,7.7,2.7,0.7,2.1,2.0,17.6,119,112,0.75,1.07,-0.32,9000000.0
1018,Thaddeus Young,PF,CHI,53,1286,20.6,2.4,1.6,4.1,.152,1.9,1.3,3.2,1.7,521,11.0,19.1,.573,0.3,1.2,.242,10.7,17.9,.596,1.9,3.0,.625,4.8,7.5,12.3,8.3,2.2,1.1,3.9,4.6,24.1,117,110,3.33,3.16,0.17,13545000.0
1019,Trae Young,PG,ATL,52,1786,22.3,4.7,1.0,5.6,.151,5.1,-1.9,3.3,2.4,522,11.0,25.6,.431,3.3,9.3,.357,7.7,16.4,.472,11.0,12.7,.871,0.9,4.8,5.7,13.7,1.2,0.3,6.1,2.7,36.4,116,116,1.19,1.8,-0.61,6571800.0
1020,Cody Zeller,C,CHO,36,770,18.1,1.7,0.9,2.6,.159,-0.1,0.0,-0.1,0.4,523,8.3,15.4,.537,0.2,1.6,.120,8.1,13.8,.584,3.8,5.2,.735,6.0,10.2,16.1,4.5,1.5,0.9,2.3,5.4,20.6,123,111,0.67,1.15,-0.48,15415730.0
1021,Ivica Zubac,C,LAC,59,1307,19.5,4.0,1.7,5.8,.212,0.8,-0.2,0.5,0.8,524,7.9,12.1,.652,0.0,0.1,.000,7.9,12.0,.658,4.3,5.3,.807,6.1,10.3,16.4,2.6,0.9,1.9,2.5,5.8,20.0,136,110,-0.67,-0.21,-0.45,7000000.0
